Stock_Y,Stock_X,Correlation,Sign
METROPOLIS.NS,AUROPHARMA.NS,0.8998,positive
NAUKRI.NS,BHARTIARTL.NS,0.8998,positive
DLF.NS,HINDCOPPER.NS,0.8996,positive
GRASIM.NS,LUPIN.NS,0.8995,positive
PIDILITIND.NS,GRASIM.NS,0.8995,positive
PIDILITIND.NS,JINDALSTEL.NS,0.8993,positive
SHRIRAMFIN.NS,VEDL.NS,0.8993,positive
CIPLA.NS,TRENT.NS,0.8991,positive
HINDPETRO.NS,OFSS.NS,0.8991,positive
LUPIN.NS,VEDL.NS,0.8991,positive
PETRONET.NS,MOTHERSON.NS,0.8991,positive
UBL.NS,M&M.NS,0.8989,positive
VOLTAS.NS,MOTHERSON.NS,0.8989,positive
PETRONET.NS,M&M.NS,0.8986,positive
AUROPHARMA.NS,VOLTAS.NS,0.8984,positive
JSWSTEEL.NS,DIVISLAB.NS,0.8983,positive
PETRONET.NS,ONGC.NS,0.8983,positive
HAVELLS.NS,JINDALSTEL.NS,0.8982,positive
FEDERALBNK.NS,VEDL.NS,0.898,positive
SBIN.NS,NATIONALUM.NS,0.898,positive
SUNPHARMA.NS,M&M.NS,0.8976,positive
SBIN.NS,OFSS.NS,0.8976,positive
EICHERMOT.NS,INDUSTOWER.NS,0.8975,positive
GRASIM.NS,BPCL.NS,0.8973,positive
VOLTAS.NS,NATIONALUM.NS,0.8972,positive
GRASIM.NS,NTPC.NS,0.8971,positive
ADANIPORTS.NS,BAJAJ-AUTO.NS,0.8969,positive
COLPAL.NS,GAIL.NS,0.8969,positive
OBEROIRLTY.NS,OFSS.NS,0.8968,positive
COLPAL.NS,MGL.NS,0.8967,positive
PETRONET.NS,GLENMARK.NS,0.8967,positive
HEROMOTOCO.NS,RECLTD.NS,0.8967,positive
ICICIBANK.NS,LAURUSLABS.NS,0.8965,positive
TECHM.NS,LUPIN.NS,0.8965,positive
ULTRACEMCO.NS,INDIGO.NS,0.8964,positive
DIVISLAB.NS,PERSISTENT.NS,0.8963,positive
EXIDEIND.NS,BHEL.NS,0.8962,positive
SBIN.NS,BHEL.NS,0.8962,positive
BAJAJ-AUTO.NS,OFSS.NS,0.8961,positive
IEX.NS,GLENMARK.NS,0.8961,positive
PETRONET.NS,NATIONALUM.NS,0.8961,positive
BHARATFORG.NS,HEROMOTOCO.NS,0.896,positive
PIDILITIND.NS,BPCL.NS,0.896,positive
SUNPHARMA.NS,BPCL.NS,0.896,positive
TECHM.NS,DIVISLAB.NS,0.8959,positive
LUPIN.NS,VOLTAS.NS,0.8958,positive
POWERGRID.NS,NATIONALUM.NS,0.8958,positive
SBIN.NS,ADANIPORTS.NS,0.8957,positive
FEDERALBNK.NS,TRENT.NS,0.8956,positive
HCLTECH.NS,TRENT.NS,0.8956,positive
HCLTECH.NS,NAUKRI.NS,0.8955,positive
LAURUSLABS.NS,INDHOTEL.NS,0.8955,positive
SBIN.NS,BEL.NS,0.8953,positive
TVSMOTOR.NS,GLENMARK.NS,0.8953,positive
GODREJCP.NS,GAIL.NS,0.8952,positive
HINDALCO.NS,POWERGRID.NS,0.895,positive
MOTHERSON.NS,TRENT.NS,0.895,positive
BHARTIARTL.NS,INDUSTOWER.NS,0.8948,positive
UBL.NS,INDIGO.NS,0.8948,positive
GLENMARK.NS,INDUSTOWER.NS,0.8947,positive
BANKBARODA.NS,AMBUJACEM.NS,0.8946,positive
ICICIBANK.NS,GRASIM.NS,0.8946,positive
ICICIGI.NS,MOTHERSON.NS,0.8946,positive
SUNPHARMA.NS,VOLTAS.NS,0.8946,positive
IOC.NS,HINDCOPPER.NS,0.8945,positive
TECHM.NS,M&M.NS,0.8942,positive
PIDILITIND.NS,MOTHERSON.NS,0.8942,positive
CIPLA.NS,ONGC.NS,0.8941,positive
TECHM.NS,TRENT.NS,0.8941,positive
ULTRACEMCO.NS,TRENT.NS,0.894,positive
GRANULES.NS,GLENMARK.NS,0.8938,positive
UBL.NS,BHARTIARTL.NS,0.8937,positive
SHRIRAMFIN.NS,INDUSTOWER.NS,0.8937,positive
AUROPHARMA.NS,POWERGRID.NS,0.8936,positive
CUB.NS,FEDERALBNK.NS,0.8936,positive
FEDERALBNK.NS,INDHOTEL.NS,0.8935,positive
DLF.NS,ADANIPORTS.NS,0.8934,positive
SHRIRAMFIN.NS,NAUKRI.NS,0.8933,positive
AMBUJACEM.NS,COALINDIA.NS,0.8932,positive
BIOCON.NS,TORNTPHARM.NS,0.8931,positive
CUMMINSIND.NS,VOLTAS.NS,0.8931,positive
OBEROIRLTY.NS,NATIONALUM.NS,0.893,positive
BHARTIARTL.NS,HINDPETRO.NS,0.8928,positive
PETRONET.NS,BPCL.NS,0.8928,positive
DIVISLAB.NS,GLENMARK.NS,0.8928,positive
PIDILITIND.NS,INDUSTOWER.NS,0.8928,positive
MOTHERSON.NS,OFSS.NS,0.8928,positive
HCLTECH.NS,OFSS.NS,0.8927,positive
IEX.NS,TORNTPHARM.NS,0.8927,positive
BIOCON.NS,PETRONET.NS,0.8926,positive
CIPLA.NS,PETRONET.NS,0.8926,positive
HINDALCO.NS,TATAPOWER.NS,0.8926,positive
APOLLOHOSP.NS,BHARTIARTL.NS,0.8925,positive
PIDILITIND.NS,ICICIGI.NS,0.8925,positive
ICICIBANK.NS,VEDL.NS,0.8924,positive
ULTRACEMCO.NS,INDUSTOWER.NS,0.8924,positive
AUROPHARMA.NS,GRANULES.NS,0.8922,positive
BAJAJ-AUTO.NS,RECLTD.NS,0.8922,positive
TORNTPHARM.NS,NATIONALUM.NS,0.8921,positive
GRASIM.NS,CUMMINSIND.NS,0.892,positive
LICI.NS,HINDCOPPER.NS,0.8919,positive
CIPLA.NS,GRASIM.NS,0.8918,positive
PIDILITIND.NS,HAVELLS.NS,0.8918,positive
METROPOLIS.NS,MOTHERSON.NS,0.8918,positive
NAUKRI.NS,HINDPETRO.NS,0.8917,positive
MARICO.NS,ASHOKLEY.NS,0.8916,positive
BAJAJ-AUTO.NS,HINDPETRO.NS,0.8916,positive
HINDPETRO.NS,INDUSTOWER.NS,0.8916,positive
JUBLFOOD.NS,DIVISLAB.NS,0.8915,positive
WIPRO.NS,HCLTECH.NS,0.8914,positive
TORNTPHARM.NS,VOLTAS.NS,0.8914,positive
AMBUJACEM.NS,IRCTC.NS,0.8913,positive
HINDALCO.NS,VEDL.NS,0.8913,positive
COALINDIA.NS,CUMMINSIND.NS,0.8912,positive
PNB.NS,COALINDIA.NS,0.8912,positive
ULTRACEMCO.NS,ICICIBANK.NS,0.8911,positive
SHRIRAMFIN.NS,INDHOTEL.NS,0.8911,positive
VOLTAS.NS,VEDL.NS,0.8911,positive
CIPLA.NS,BOSCHLTD.NS,0.891,positive
ULTRACEMCO.NS,GLENMARK.NS,0.891,positive
GRANULES.NS,NAUKRI.NS,0.891,positive
BANKBARODA.NS,BHEL.NS,0.8909,positive
BPCL.NS,INDUSTOWER.NS,0.8908,positive
GAIL.NS,MOTHERSON.NS,0.8908,positive
LT.NS,TATAPOWER.NS,0.8908,positive
SUNPHARMA.NS,GRANULES.NS,0.8907,positive
LUPIN.NS,NATIONALUM.NS,0.8907,positive
M&M.NS,OFSS.NS,0.8906,positive
NTPC.NS,IOC.NS,0.8904,positive
PIDILITIND.NS,TATAPOWER.NS,0.8904,positive
CIPLA.NS,OFSS.NS,0.8903,positive
GRASIM.NS,NAUKRI.NS,0.8903,positive
TORNTPHARM.NS,BEL.NS,0.8902,positive
CUB.NS,ICICIBANK.NS,0.8902,positive
GODREJCP.NS,ADANIPORTS.NS,0.8901,positive
HINDALCO.NS,GAIL.NS,0.8901,positive
BAJAJ-AUTO.NS,MOTHERSON.NS,0.89,positive
ICICIBANK.NS,TVSMOTOR.NS,0.89,positive
ULTRACEMCO.NS,ICICIGI.NS,0.89,positive
BANKBARODA.NS,DLF.NS,0.8899,positive
ULTRACEMCO.NS,PERSISTENT.NS,0.8899,positive
COLPAL.NS,ONGC.NS,0.8898,positive
INDHOTEL.NS,VEDL.NS,0.8898,positive
PERSISTENT.NS,GLENMARK.NS,0.8896,positive
ICICIGI.NS,M&M.NS,0.8896,positive
SUNPHARMA.NS,VEDL.NS,0.8896,positive
M&M.NS,NATIONALUM.NS,0.8894,positive
OBEROIRLTY.NS,M&M.NS,0.8893,positive
COALINDIA.NS,HINDCOPPER.NS,0.8892,positive
METROPOLIS.NS,BOSCHLTD.NS,0.8891,positive
JINDALSTEL.NS,PETRONET.NS,0.8891,positive
COLPAL.NS,MOTHERSON.NS,0.889,positive
COLPAL.NS,RECLTD.NS,0.889,positive
HEROMOTOCO.NS,EXIDEIND.NS,0.889,positive
ASHOKLEY.NS,VEDL.NS,0.8889,positive
TATAPOWER.NS,HINDPETRO.NS,0.8888,positive
ESCORTS.NS,BHARATFORG.NS,0.8887,positive
TORNTPHARM.NS,BPCL.NS,0.8887,positive
INFY.NS,TECHM.NS,0.8887,positive
TATASTEEL.NS,ADANIPORTS.NS,0.8886,positive
GODREJCP.NS,AMBUJACEM.NS,0.8886,positive
MUTHOOTFIN.NS,BEL.NS,0.8885,positive
LICI.NS,RECLTD.NS,0.8885,positive
AMBUJACEM.NS,ONGC.NS,0.8882,positive
ICICIBANK.NS,GLENMARK.NS,0.8881,positive
BANKBARODA.NS,TATAPOWER.NS,0.888,positive
SAIL.NS,NMDC.NS,0.888,positive
CIPLA.NS,TATAPOWER.NS,0.8877,positive
SHRIRAMFIN.NS,MUTHOOTFIN.NS,0.8875,positive
UBL.NS,VEDL.NS,0.8874,positive
TORNTPHARM.NS,BOSCHLTD.NS,0.8873,positive
HINDALCO.NS,CUMMINSIND.NS,0.8871,positive
MUTHOOTFIN.NS,VEDL.NS,0.8871,positive
HAVELLS.NS,GAIL.NS,0.8869,positive
HINDPETRO.NS,BEL.NS,0.8868,positive
INDIGO.NS,HINDPETRO.NS,0.8867,positive
M&M.NS,PERSISTENT.NS,0.8866,positive
BANKBARODA.NS,NMDC.NS,0.8864,positive
POWERGRID.NS,EXIDEIND.NS,0.8864,positive
FEDERALBNK.NS,TVSMOTOR.NS,0.8864,positive
POWERGRID.NS,LUPIN.NS,0.8863,positive
INDHOTEL.NS,INDIGO.NS,0.8862,positive
UBL.NS,POWERGRID.NS,0.8862,positive
ADANIPORTS.NS,RECLTD.NS,0.886,positive
ICICIGI.NS,AUROPHARMA.NS,0.886,positive
PETRONET.NS,BAJAJ-AUTO.NS,0.886,positive
IEX.NS,INDIGO.NS,0.886,positive
NTPC.NS,TVSMOTOR.NS,0.8859,positive
HCLTECH.NS,TORNTPHARM.NS,0.8858,positive
WIPRO.NS,TECHM.NS,0.8858,positive
HAVELLS.NS,COLPAL.NS,0.8857,positive
BANKBARODA.NS,LICI.NS,0.8856,positive
COLPAL.NS,COALINDIA.NS,0.8852,positive
HEROMOTOCO.NS,HINDCOPPER.NS,0.8851,positive
NTPC.NS,HEROMOTOCO.NS,0.8851,positive
ICICIGI.NS,CUMMINSIND.NS,0.885,positive
PETRONET.NS,NTPC.NS,0.885,positive
TATAPOWER.NS,PNB.NS,0.8849,positive
GRASIM.NS,OFSS.NS,0.8848,positive
TECHM.NS,TORNTPHARM.NS,0.8848,positive
CUMMINSIND.NS,TRENT.NS,0.8845,positive
ASHOKLEY.NS,IEX.NS,0.8843,positive
JINDALSTEL.NS,ADANIPORTS.NS,0.8842,positive
JINDALSTEL.NS,BAJAJ-AUTO.NS,0.8842,positive
NAUKRI.NS,DIVISLAB.NS,0.8841,positive
ICICIGI.NS,GAIL.NS,0.884,positive
ULTRACEMCO.NS,VEDL.NS,0.884,positive
APOLLOHOSP.NS,BPCL.NS,0.8839,positive
ONGC.NS,HEROMOTOCO.NS,0.8839,positive
LT.NS,RECLTD.NS,0.8838,positive
NTPC.NS,TRENT.NS,0.8838,positive
HAVELLS.NS,BAJAJ-AUTO.NS,0.8837,positive
NMDC.NS,IOC.NS,0.8837,positive
IEX.NS,INDUSTOWER.NS,0.8835,positive
FEDERALBNK.NS,ASHOKLEY.NS,0.8834,positive
TATASTEEL.NS,TATAPOWER.NS,0.8834,positive
IOC.NS,RECLTD.NS,0.8831,positive
JINDALSTEL.NS,VEDL.NS,0.8829,positive
SBIN.NS,NTPC.NS,0.8829,positive
HINDPETRO.NS,NATIONALUM.NS,0.8828,positive
CIPLA.NS,AUROPHARMA.NS,0.8827,positive
SUNPHARMA.NS,INDUSTOWER.NS,0.8827,positive
BANKBARODA.NS,IOC.NS,0.8826,positive
HEROMOTOCO.NS,CUMMINSIND.NS,0.8826,positive
ICICIGI.NS,VEDL.NS,0.8826,positive
ACC.NS,TATAMOTORS.NS,0.8825,positive
ADANIENT.NS,CONCOR.NS,0.8824,positive
GRANULES.NS,VOLTAS.NS,0.8824,positive
TATACONSUM.NS,IOC.NS,0.8824,positive
PIDILITIND.NS,PETRONET.NS,0.8823,positive
APOLLOHOSP.NS,POWERGRID.NS,0.8822,positive
CUB.NS,BEL.NS,0.8821,positive
METROPOLIS.NS,BAJAJ-AUTO.NS,0.882,positive
APOLLOHOSP.NS,GRASIM.NS,0.8819,positive
ASHOKLEY.NS,GLENMARK.NS,0.8819,positive
UBL.NS,IEX.NS,0.8815,positive
INDUSTOWER.NS,TRENT.NS,0.8815,positive
GRASIM.NS,JINDALSTEL.NS,0.8814,positive
NMDC.NS,RECLTD.NS,0.8814,positive
OBEROIRLTY.NS,VOLTAS.NS,0.8814,positive
SUNPHARMA.NS,NTPC.NS,0.8813,positive
JSWSTEEL.NS,GLENMARK.NS,0.8812,positive
MGL.NS,ONGC.NS,0.8812,positive
BAJAJ-AUTO.NS,BHEL.NS,0.8811,positive
SBIN.NS,ONGC.NS,0.8811,positive
SBIN.NS,VEDL.NS,0.8811,positive
APOLLOHOSP.NS,GLENMARK.NS,0.881,positive
PIDILITIND.NS,NTPC.NS,0.881,positive
CIPLA.NS,COALINDIA.NS,0.8809,positive
METROPOLIS.NS,RECLTD.NS,0.8809,positive
POWERGRID.NS,MOTHERSON.NS,0.8807,positive
EICHERMOT.NS,LUPIN.NS,0.8804,positive
IOC.NS,BAJAJ-AUTO.NS,0.8802,positive
LAURUSLABS.NS,BHARTIARTL.NS,0.8802,positive
NMDC.NS,ADANIPORTS.NS,0.8801,positive
SUNPHARMA.NS,BAJAJ-AUTO.NS,0.8801,positive
PIIND.NS,ICICIPRULI.NS,0.8801,positive
EICHERMOT.NS,DIVISLAB.NS,0.88,positive
ICICIBANK.NS,PERSISTENT.NS,0.88,positive
OBEROIRLTY.NS,BOSCHLTD.NS,0.8799,positive
ICICIBANK.NS,NAUKRI.NS,0.8799,positive
LUPIN.NS,INDUSTOWER.NS,0.8799,positive
MARICO.NS,M&M.NS,0.8799,positive
BOSCHLTD.NS,NAUKRI.NS,0.8798,positive
VEDL.NS,OFSS.NS,0.8797,positive
JSWSTEEL.NS,ULTRACEMCO.NS,0.8796,positive
BANKBARODA.NS,SAIL.NS,0.8795,positive
ONGC.NS,BOSCHLTD.NS,0.8794,positive
ICICIGI.NS,NTPC.NS,0.8794,positive
JINDALSTEL.NS,NTPC.NS,0.8792,positive
UBL.NS,LUPIN.NS,0.8792,positive
CIPLA.NS,INDUSTOWER.NS,0.8791,positive
TATAPOWER.NS,EXIDEIND.NS,0.8791,positive
INDIGO.NS,GLENMARK.NS,0.8791,positive
MUTHOOTFIN.NS,GLENMARK.NS,0.8791,positive
ADANIPORTS.NS,BOSCHLTD.NS,0.8788,positive
INFY.NS,GRANULES.NS,0.8787,positive
JSWSTEEL.NS,TORNTPHARM.NS,0.8787,positive
OBEROIRLTY.NS,VEDL.NS,0.8785,positive
JSWSTEEL.NS,INDHOTEL.NS,0.8784,positive
JSWSTEEL.NS,FEDERALBNK.NS,0.8781,positive
KOTAKBANK.NS,BAJFINANCE.NS,0.8779,positive
JSWSTEEL.NS,GRASIM.NS,0.8779,positive
CIPLA.NS,ADANIPORTS.NS,0.8778,positive
BANKBARODA.NS,ADANIPORTS.NS,0.8776,positive
PNB.NS,ADANIPORTS.NS,0.8775,positive
GRASIM.NS,ASHOKLEY.NS,0.8774,positive
AUROPHARMA.NS,COALINDIA.NS,0.8774,positive
GAIL.NS,HINDCOPPER.NS,0.8774,positive
SAIL.NS,IOC.NS,0.8773,positive
SUNTV.NS,BHARATFORG.NS,0.8772,positive
HAVELLS.NS,BHARATFORG.NS,0.8771,positive
IEX.NS,TRENT.NS,0.8771,positive
HINDPETRO.NS,GLENMARK.NS,0.877,positive
PERSISTENT.NS,TRENT.NS,0.877,positive
ULTRACEMCO.NS,INDHOTEL.NS,0.8769,positive
GLENMARK.NS,BEL.NS,0.8768,positive
UBL.NS,HINDPETRO.NS,0.8768,positive
PIDILITIND.NS,OFSS.NS,0.8768,positive
CUB.NS,MFSL.NS,0.8767,positive
HCLTECH.NS,GRANULES.NS,0.8766,positive
BANDHANBNK.NS,ZEEL.NS,0.8765,positive
JSWSTEEL.NS,BEL.NS,0.8765,positive
CIPLA.NS,CUMMINSIND.NS,0.8764,positive
HINDPETRO.NS,VEDL.NS,0.8762,positive
GAIL.NS,OFSS.NS,0.876,positive
BOSCHLTD.NS,INDUSTOWER.NS,0.8759,positive
BIOCON.NS,TRENT.NS,0.8758,positive
METROPOLIS.NS,EXIDEIND.NS,0.8758,positive
POWERGRID.NS,VEDL.NS,0.8758,positive
CIPLA.NS,SHRIRAMFIN.NS,0.8755,positive
HAVELLS.NS,AUROPHARMA.NS,0.8754,positive
APOLLOHOSP.NS,BOSCHLTD.NS,0.8752,positive
JINDALSTEL.NS,BPCL.NS,0.8752,positive
MARICO.NS,DIVISLAB.NS,0.8752,positive
AUROPHARMA.NS,PETRONET.NS,0.8751,positive
FEDERALBNK.NS,MUTHOOTFIN.NS,0.8751,positive
M&M.NS,HINDPETRO.NS,0.8751,positive
RELIANCE.NS,AMBUJACEM.NS,0.875,positive
CUMMINSIND.NS,VEDL.NS,0.875,positive
BIOCON.NS,ASHOKLEY.NS,0.8748,positive
FEDERALBNK.NS,INDIGO.NS,0.8748,positive
HINDALCO.NS,INDUSTOWER.NS,0.8748,positive
APOLLOHOSP.NS,FEDERALBNK.NS,0.8746,positive
PIDILITIND.NS,ADANIPORTS.NS,0.8745,positive
ASHOKLEY.NS,INDIGO.NS,0.8745,positive
PIDILITIND.NS,TRENT.NS,0.8745,positive
GODREJCP.NS,BHEL.NS,0.8744,positive
HINDALCO.NS,TRENT.NS,0.8744,positive
MARICO.NS,ICICIBANK.NS,0.8744,positive
TVSMOTOR.NS,NAUKRI.NS,0.8744,positive
IEX.NS,BHARTIARTL.NS,0.8741,positive
HINDALCO.NS,BAJAJ-AUTO.NS,0.874,positive
CUMMINSIND.NS,RECLTD.NS,0.874,positive
MGL.NS,GAIL.NS,0.874,positive
MARUTI.NS,INDUSTOWER.NS,0.874,positive
IEX.NS,M&M.NS,0.8738,positive
METROPOLIS.NS,OFSS.NS,0.8738,positive
ULTRACEMCO.NS,PETRONET.NS,0.8738,positive
GODREJCP.NS,MGL.NS,0.8737,positive
HINDALCO.NS,TVSMOTOR.NS,0.8737,positive
ICICIBANK.NS,LUPIN.NS,0.8737,positive
LICI.NS,SAIL.NS,0.8737,positive
LICI.NS,TATAMOTORS.NS,0.8737,positive
APOLLOHOSP.NS,NATIONALUM.NS,0.8736,positive
PIDILITIND.NS,HINDPETRO.NS,0.8735,positive
TECHM.NS,OFSS.NS,0.8735,positive
ONGC.NS,INDUSTOWER.NS,0.8733,positive
FEDERALBNK.NS,SUNPHARMA.NS,0.8732,positive
BIOCON.NS,LUPIN.NS,0.8731,positive
LT.NS,COALINDIA.NS,0.8731,positive
NTPC.NS,VOLTAS.NS,0.8731,positive
BIOCON.NS,TECHM.NS,0.873,positive
LT.NS,BHEL.NS,0.8729,positive
BIOCON.NS,INDUSTOWER.NS,0.8729,positive
DLF.NS,GAIL.NS,0.8729,positive
SBICARD.NS,BAJFINANCE.NS,0.8728,positive
MARICO.NS,BHARTIARTL.NS,0.8728,positive
BOSCHLTD.NS,VEDL.NS,0.8728,positive
INDHOTEL.NS,GLENMARK.NS,0.8728,positive
TVSMOTOR.NS,GAIL.NS,0.8727,positive
MARICO.NS,INDIGO.NS,0.8726,positive
BOSCHLTD.NS,COALINDIA.NS,0.8725,positive
AMBUJACEM.NS,TATAMOTORS.NS,0.8724,positive
HAVELLS.NS,HEROMOTOCO.NS,0.8721,positive
METROPOLIS.NS,TRENT.NS,0.872,positive
AUROPHARMA.NS,ONGC.NS,0.8719,positive
EICHERMOT.NS,GLENMARK.NS,0.8719,positive
HAVELLS.NS,METROPOLIS.NS,0.8719,positive
BOSCHLTD.NS,RECLTD.NS,0.8718,positive
FEDERALBNK.NS,IEX.NS,0.8718,positive
SBIN.NS,M&M.NS,0.8718,positive
UBL.NS,SUNPHARMA.NS,0.8718,positive
APOLLOHOSP.NS,ICICIBANK.NS,0.8716,positive
HAVELLS.NS,POWERGRID.NS,0.8716,positive
TATAMOTORS.NS,IOC.NS,0.8716,positive
APOLLOHOSP.NS,PETRONET.NS,0.8714,positive
MUTHOOTFIN.NS,PERSISTENT.NS,0.8714,positive
SBIN.NS,EXIDEIND.NS,0.8713,positive
SAIL.NS,TATAPOWER.NS,0.8713,positive
TORNTPHARM.NS,MUTHOOTFIN.NS,0.8712,positive
POWERGRID.NS,M&M.NS,0.8711,positive
LICI.NS,BPCL.NS,0.871,positive
EXIDEIND.NS,RECLTD.NS,0.8709,positive
IEX.NS,BEL.NS,0.8708,positive
SHRIRAMFIN.NS,DIVISLAB.NS,0.8708,positive
BPCL.NS,TRENT.NS,0.8706,positive
COFORGE.NS,DIVISLAB.NS,0.8706,positive
NMDC.NS,GAIL.NS,0.8705,positive
ULTRACEMCO.NS,BIOCON.NS,0.8703,positive
FEDERALBNK.NS,ICICIGI.NS,0.8703,positive
ADANIPORTS.NS,HINDCOPPER.NS,0.8701,positive
ASIANPAINT.NS,BANDHANBNK.NS,0.8701,positive
DLF.NS,HEROMOTOCO.NS,0.8701,positive
GODREJCP.NS,IOC.NS,0.8701,positive
TVSMOTOR.NS,BAJAJ-AUTO.NS,0.8699,positive
BOSCHLTD.NS,EXIDEIND.NS,0.8699,positive
CUMMINSIND.NS,HINDPETRO.NS,0.8698,positive
SHRIRAMFIN.NS,PERSISTENT.NS,0.8697,positive
SBIN.NS,BAJAJ-AUTO.NS,0.8695,positive
ICICIBANK.NS,MFSL.NS,0.8695,positive
FEDERALBNK.NS,OBEROIRLTY.NS,0.8694,positive
BHARTIARTL.NS,TRENT.NS,0.8692,positive
COLPAL.NS,VOLTAS.NS,0.8692,positive
CUB.NS,EICHERMOT.NS,0.8692,positive
EICHERMOT.NS,LAURUSLABS.NS,0.8692,positive
ADANIPORTS.NS,HINDPETRO.NS,0.869,positive
BOSCHLTD.NS,M&M.NS,0.869,positive
DLF.NS,RECLTD.NS,0.869,positive
GODREJCP.NS,ONGC.NS,0.8689,positive
HCLTECH.NS,HINDPETRO.NS,0.8689,positive
CHOLAFIN.NS,INDIGO.NS,0.8688,positive
TATASTEEL.NS,GAIL.NS,0.8688,positive
UBL.NS,SHRIRAMFIN.NS,0.8688,positive
HINDALCO.NS,BOSCHLTD.NS,0.8687,positive
PIDILITIND.NS,EXIDEIND.NS,0.8687,positive
BOSCHLTD.NS,BHEL.NS,0.8686,positive
INDHOTEL.NS,NATIONALUM.NS,0.8686,positive
NTPC.NS,INDUSTOWER.NS,0.8684,positive
LT.NS,NMDC.NS,0.8683,positive
COLPAL.NS,POWERGRID.NS,0.8682,positive
MGL.NS,HEROMOTOCO.NS,0.868,positive
ICICIGI.NS,BHARTIARTL.NS,0.8679,positive
SBIN.NS,TORNTPHARM.NS,0.8678,positive
BIOCON.NS,OFSS.NS,0.8676,positive
PETRONET.NS,TATAPOWER.NS,0.8676,positive
BOSCHLTD.NS,LUPIN.NS,0.8675,positive
HAVELLS.NS,VOLTAS.NS,0.8675,positive
IDFCFIRSTB.NS,ZEEL.NS,0.8675,positive
MGL.NS,BAJAJ-AUTO.NS,0.8673,positive
JSWSTEEL.NS,NAUKRI.NS,0.8673,positive
DLF.NS,BAJAJ-AUTO.NS,0.8672,positive
DLF.NS,ONGC.NS,0.8672,positive
UBL.NS,NAUKRI.NS,0.8672,positive
EICHERMOT.NS,NAUKRI.NS,0.8671,positive
INDUSTOWER.NS,OFSS.NS,0.8671,positive
TVSMOTOR.NS,BOSCHLTD.NS,0.8668,positive
TECHM.NS,GRANULES.NS,0.8668,positive
CUMMINSIND.NS,NATIONALUM.NS,0.8667,positive
GODREJCP.NS,LICI.NS,0.8667,positive
ICICIBANK.NS,SUNPHARMA.NS,0.8667,positive
DIVISLAB.NS,INDIGO.NS,0.8665,positive
DIVISLAB.NS,VEDL.NS,0.8665,positive
UBL.NS,BEL.NS,0.8664,positive
HINDALCO.NS,NATIONALUM.NS,0.8664,positive
TECHM.NS,INDIACEM.NS,0.8662,positive
GRASIM.NS,MOTHERSON.NS,0.8661,positive
CIPLA.NS,ULTRACEMCO.NS,0.866,positive
GRANULES.NS,HINDPETRO.NS,0.8659,positive
IEX.NS,HINDPETRO.NS,0.8658,positive
UBL.NS,PETRONET.NS,0.8658,positive
ULTRACEMCO.NS,OFSS.NS,0.8656,positive
APOLLOHOSP.NS,M&M.NS,0.8655,positive
ICICIGI.NS,COLPAL.NS,0.8655,positive
SAIL.NS,ADANIPORTS.NS,0.8654,positive
FEDERALBNK.NS,INDUSTOWER.NS,0.8654,positive
GAIL.NS,TRENT.NS,0.8653,positive
TATASTEEL.NS,AMBUJACEM.NS,0.8652,positive
TECHM.NS,COFORGE.NS,0.8652,positive
LUPIN.NS,INDIGO.NS,0.8651,positive
CIPLA.NS,APOLLOHOSP.NS,0.865,positive
OBEROIRLTY.NS,GLENMARK.NS,0.865,positive
UBL.NS,HINDALCO.NS,0.8649,positive
TVSMOTOR.NS,VEDL.NS,0.8649,positive
POWERGRID.NS,BEL.NS,0.8648,positive
WIPRO.NS,NAUKRI.NS,0.8647,positive
TORNTPHARM.NS,OBEROIRLTY.NS,0.8647,positive
LT.NS,ADANIPORTS.NS,0.8646,positive
TATASTEEL.NS,CUMMINSIND.NS,0.8645,positive
HCLTECH.NS,NATIONALUM.NS,0.8645,positive
SBIN.NS,TRENT.NS,0.8645,positive
TATASTEEL.NS,NMDC.NS,0.8644,positive
SUNTV.NS,AUROPHARMA.NS,0.8643,positive
HAVELLS.NS,BOSCHLTD.NS,0.8641,positive
METROPOLIS.NS,SIEMENS.NS,0.8639,positive
CIPLA.NS,SBIN.NS,0.8638,positive
INDHOTEL.NS,HINDPETRO.NS,0.8637,positive
MARICO.NS,IEX.NS,0.8637,positive
AMBUJACEM.NS,DLF.NS,0.8636,positive
AUROPHARMA.NS,BOSCHLTD.NS,0.8636,positive
FEDERALBNK.NS,BIOCON.NS,0.8636,positive
EICHERMOT.NS,HINDPETRO.NS,0.8635,positive
RECLTD.NS,HINDCOPPER.NS,0.8635,positive
ONGC.NS,HINDPETRO.NS,0.8634,positive
HINDALCO.NS,AUROPHARMA.NS,0.8633,positive
BAJAJ-AUTO.NS,EXIDEIND.NS,0.8633,positive
ICICIGI.NS,BIOCON.NS,0.8633,positive
UBL.NS,BIOCON.NS,0.8633,positive
CIPLA.NS,VOLTAS.NS,0.8632,positive
INFY.NS,WIPRO.NS,0.8632,positive
GRASIM.NS,BAJAJ-AUTO.NS,0.8631,positive
CUB.NS,DIVISLAB.NS,0.863,positive
IRCTC.NS,LICI.NS,0.863,positive
SBIN.NS,COALINDIA.NS,0.8629,positive
HEROMOTOCO.NS,POWERGRID.NS,0.8627,positive
DLF.NS,BPCL.NS,0.8626,positive
JINDALSTEL.NS,VOLTAS.NS,0.8625,positive
NTPC.NS,NMDC.NS,0.8625,positive
