Stock_Y,Stock_X,Correlation,Sign
GLENMARK.NS,VEDL.NS,0.9341,positive
POWERGRID.NS,BAJAJ-AUTO.NS,0.9335,positive
SBIN.NS,GAIL.NS,0.9335,positive
ICICIBANK.NS,SHRIRAMFIN.NS,0.9335,positive
JSWSTEEL.NS,BHARTIARTL.NS,0.9334,positive
IEX.NS,TVSMOTOR.NS,0.9333,positive
FEDERALBNK.NS,M&M.NS,0.9332,positive
BOSCHLTD.NS,GAIL.NS,0.933,positive
AMBUJACEM.NS,IOC.NS,0.9327,positive
LICI.NS,BHEL.NS,0.9327,positive
ICICIBANK.NS,DIVISLAB.NS,0.9325,positive
SHRIRAMFIN.NS,GLENMARK.NS,0.9325,positive
GRASIM.NS,TORNTPHARM.NS,0.9325,positive
ICICIGI.NS,SUNPHARMA.NS,0.9323,positive
BHARTIARTL.NS,BEL.NS,0.9322,positive
PIDILITIND.NS,CUMMINSIND.NS,0.9322,positive
SUNPHARMA.NS,NAUKRI.NS,0.9321,positive
PETRONET.NS,INDUSTOWER.NS,0.9319,positive
AMBUJACEM.NS,ADANIPORTS.NS,0.9318,positive
ICICIBANK.NS,MUTHOOTFIN.NS,0.9317,positive
GRASIM.NS,SHRIRAMFIN.NS,0.9312,positive
M&M.NS,BEL.NS,0.9308,positive
NAUKRI.NS,OFSS.NS,0.9308,positive
ONGC.NS,BHEL.NS,0.9307,positive
EICHERMOT.NS,M&M.NS,0.9307,positive
ICICIBANK.NS,BEL.NS,0.9304,positive
IOC.NS,BHEL.NS,0.9302,positive
MUTHOOTFIN.NS,DIVISLAB.NS,0.9301,positive
NMDC.NS,BHEL.NS,0.9296,positive
SBIN.NS,JINDALSTEL.NS,0.9294,positive
ONGC.NS,IOC.NS,0.9292,positive
JSWSTEEL.NS,ICICIBANK.NS,0.9291,positive
JSWSTEEL.NS,SHRIRAMFIN.NS,0.9291,positive
NTPC.NS,RECLTD.NS,0.9291,positive
DIVISLAB.NS,BHARTIARTL.NS,0.9288,positive
LUPIN.NS,HINDPETRO.NS,0.9287,positive
ONGC.NS,POWERGRID.NS,0.9286,positive
EICHERMOT.NS,BEL.NS,0.9285,positive
GRASIM.NS,ICICIGI.NS,0.9285,positive
BANKBARODA.NS,PNB.NS,0.9284,positive
SUNPHARMA.NS,OFSS.NS,0.9283,positive
TORNTPHARM.NS,VEDL.NS,0.9283,positive
NAUKRI.NS,PERSISTENT.NS,0.9282,positive
TVSMOTOR.NS,BHARTIARTL.NS,0.9281,positive
PETRONET.NS,TRENT.NS,0.9281,positive
ONGC.NS,NTPC.NS,0.928,positive
HEROMOTOCO.NS,BAJAJ-AUTO.NS,0.9279,positive
POWERGRID.NS,COALINDIA.NS,0.9277,positive
LAURUSLABS.NS,MUTHOOTFIN.NS,0.9277,positive
PETRONET.NS,BOSCHLTD.NS,0.9273,positive
ONGC.NS,ADANIPORTS.NS,0.9272,positive
HAVELLS.NS,EXIDEIND.NS,0.9272,positive
MUTHOOTFIN.NS,INDIGO.NS,0.9272,positive
GRASIM.NS,BEL.NS,0.927,positive
TATAPOWER.NS,BOSCHLTD.NS,0.9268,positive
ICICIBANK.NS,INDHOTEL.NS,0.9268,positive
PETRONET.NS,TORNTPHARM.NS,0.9266,positive
ONGC.NS,BPCL.NS,0.9263,positive
COALINDIA.NS,BAJAJ-AUTO.NS,0.9262,positive
COALINDIA.NS,BPCL.NS,0.9262,positive
PNB.NS,IOC.NS,0.9259,positive
BPCL.NS,BAJAJ-AUTO.NS,0.9252,positive
POWERGRID.NS,OFSS.NS,0.925,positive
BAJAJ-AUTO.NS,CUMMINSIND.NS,0.9249,positive
AUROPHARMA.NS,NTPC.NS,0.9248,positive
BIOCON.NS,M&M.NS,0.9248,positive
TATAPOWER.NS,IOC.NS,0.9248,positive
PIDILITIND.NS,BOSCHLTD.NS,0.9247,positive
JINDALSTEL.NS,GAIL.NS,0.9247,positive
FEDERALBNK.NS,NAUKRI.NS,0.9246,positive
TATAPOWER.NS,CUMMINSIND.NS,0.9244,positive
DLF.NS,PNB.NS,0.9243,positive
NTPC.NS,ADANIPORTS.NS,0.9242,positive
DLF.NS,IOC.NS,0.9242,positive
ICICIGI.NS,OFSS.NS,0.9242,positive
NMDC.NS,PNB.NS,0.9242,positive
JSWSTEEL.NS,INDIGO.NS,0.9238,positive
HINDCOPPER.NS,BHEL.NS,0.9237,positive
GAIL.NS,RECLTD.NS,0.9236,positive
HINDPETRO.NS,TRENT.NS,0.9236,positive
CIPLA.NS,NTPC.NS,0.9235,positive
UBL.NS,ULTRACEMCO.NS,0.9235,positive
CIPLA.NS,SUNPHARMA.NS,0.9234,positive
ONGC.NS,RECLTD.NS,0.9234,positive
TATAPOWER.NS,RECLTD.NS,0.9234,positive
ICICIGI.NS,PETRONET.NS,0.9232,positive
RECLTD.NS,BHEL.NS,0.9231,positive
IRCTC.NS,HINDCOPPER.NS,0.9231,positive
TATAPOWER.NS,NMDC.NS,0.9231,positive
PETRONET.NS,CUMMINSIND.NS,0.923,positive
CIPLA.NS,POWERGRID.NS,0.9229,positive
ICICIGI.NS,HINDPETRO.NS,0.9227,positive
TORNTPHARM.NS,INDHOTEL.NS,0.9227,positive
SBIN.NS,PETRONET.NS,0.9227,positive
APOLLOHOSP.NS,HCLTECH.NS,0.9226,positive
PETRONET.NS,GAIL.NS,0.9226,positive
ICICIGI.NS,INDUSTOWER.NS,0.9225,positive
POWERGRID.NS,INDUSTOWER.NS,0.9224,positive
JINDALSTEL.NS,POWERGRID.NS,0.9224,positive
POWERGRID.NS,RECLTD.NS,0.9223,positive
ICICIBANK.NS,M&M.NS,0.9222,positive
ICICIGI.NS,LUPIN.NS,0.9222,positive
INDIGO.NS,INDUSTOWER.NS,0.9222,positive
TVSMOTOR.NS,INDIGO.NS,0.9222,positive
LUPIN.NS,INDHOTEL.NS,0.9221,positive
NMDC.NS,COALINDIA.NS,0.922,positive
SHRIRAMFIN.NS,LUPIN.NS,0.922,positive
BOSCHLTD.NS,NATIONALUM.NS,0.9218,positive
COFORGE.NS,PERSISTENT.NS,0.9218,positive
HAVELLS.NS,MOTHERSON.NS,0.9218,positive
APOLLOHOSP.NS,PERSISTENT.NS,0.9217,positive
BHARTIARTL.NS,VEDL.NS,0.9214,positive
VEDL.NS,TRENT.NS,0.9213,positive
SUNPHARMA.NS,GLENMARK.NS,0.921,positive
GRASIM.NS,INDIGO.NS,0.921,positive
ICICIGI.NS,TVSMOTOR.NS,0.921,positive
GRASIM.NS,M&M.NS,0.9209,positive
TORNTPHARM.NS,OFSS.NS,0.9203,positive
ONGC.NS,TATAPOWER.NS,0.9203,positive
POWERGRID.NS,TRENT.NS,0.9202,positive
GRANULES.NS,TRENT.NS,0.9201,positive
TATAPOWER.NS,HINDCOPPER.NS,0.9199,positive
CIPLA.NS,BPCL.NS,0.9198,positive
HAVELLS.NS,CUMMINSIND.NS,0.9198,positive
OBEROIRLTY.NS,NAUKRI.NS,0.9197,positive
PETRONET.NS,VOLTAS.NS,0.9194,positive
HEROMOTOCO.NS,COALINDIA.NS,0.9193,positive
INDIGO.NS,M&M.NS,0.9193,positive
TORNTPHARM.NS,PERSISTENT.NS,0.9191,positive
SAIL.NS,BHEL.NS,0.919,positive
M&M.NS,TRENT.NS,0.919,positive
INDUSTOWER.NS,BEL.NS,0.9189,positive
TVSMOTOR.NS,BEL.NS,0.9187,positive
ICICIBANK.NS,FEDERALBNK.NS,0.9187,positive
GAIL.NS,IOC.NS,0.9185,positive
BOSCHLTD.NS,VOLTAS.NS,0.9184,positive
IDFCFIRSTB.NS,BANDHANBNK.NS,0.9183,positive
GAIL.NS,EXIDEIND.NS,0.9182,positive
BHARTIARTL.NS,GLENMARK.NS,0.9181,positive
SBIN.NS,BPCL.NS,0.9179,positive
ULTRACEMCO.NS,SHRIRAMFIN.NS,0.9179,positive
PIDILITIND.NS,SBIN.NS,0.9177,positive
LUPIN.NS,BHARTIARTL.NS,0.9176,positive
DLF.NS,TATAPOWER.NS,0.9176,positive
NATIONALUM.NS,OFSS.NS,0.9176,positive
IOC.NS,BPCL.NS,0.9175,positive
LICI.NS,ONGC.NS,0.9175,positive
SUNPHARMA.NS,PETRONET.NS,0.9175,positive
BIOCON.NS,VEDL.NS,0.9174,positive
SUNPHARMA.NS,SHRIRAMFIN.NS,0.9172,positive
PIDILITIND.NS,GAIL.NS,0.9171,positive
AUROPHARMA.NS,BAJAJ-AUTO.NS,0.9168,positive
NAUKRI.NS,INDHOTEL.NS,0.9168,positive
CIPLA.NS,BAJAJ-AUTO.NS,0.9166,positive
JINDALSTEL.NS,TATAPOWER.NS,0.9166,positive
LICI.NS,DLF.NS,0.9165,positive
HINDALCO.NS,JINDALSTEL.NS,0.9165,positive
ACC.NS,ADANIENT.NS,0.9164,positive
ONGC.NS,BAJAJ-AUTO.NS,0.9162,positive
AMBUJACEM.NS,SAIL.NS,0.9161,positive
TECHM.NS,GLENMARK.NS,0.9161,positive
TORNTPHARM.NS,INDUSTOWER.NS,0.916,positive
SUNPHARMA.NS,TVSMOTOR.NS,0.916,positive
ULTRACEMCO.NS,IEX.NS,0.9159,positive
SAIL.NS,PNB.NS,0.9158,positive
WIPRO.NS,PERSISTENT.NS,0.9157,positive
TVSMOTOR.NS,LUPIN.NS,0.9156,positive
BOSCHLTD.NS,BPCL.NS,0.9154,positive
APOLLOHOSP.NS,ULTRACEMCO.NS,0.9153,positive
GRASIM.NS,BHARTIARTL.NS,0.9152,positive
ULTRACEMCO.NS,M&M.NS,0.915,positive
ULTRACEMCO.NS,HINDPETRO.NS,0.9149,positive
NAUKRI.NS,NATIONALUM.NS,0.9149,positive
BHARATFORG.NS,EXIDEIND.NS,0.9148,positive
LICI.NS,HEROMOTOCO.NS,0.9148,positive
JSWSTEEL.NS,EICHERMOT.NS,0.9147,positive
GODREJCP.NS,HEROMOTOCO.NS,0.9147,positive
TECHM.NS,HCLTECH.NS,0.9147,positive
HEROMOTOCO.NS,IOC.NS,0.9147,positive
SBIN.NS,TATAPOWER.NS,0.9147,positive
PNB.NS,BHEL.NS,0.9144,positive
EXIDEIND.NS,MOTHERSON.NS,0.9144,positive
GRASIM.NS,HINDPETRO.NS,0.9143,positive
SBIN.NS,GRASIM.NS,0.9143,positive
TORNTPHARM.NS,POWERGRID.NS,0.9143,positive
