Entry_Date,Stock_Y,Stock_X,ADF_PValue_Entry,ZScore_Entry,Beta,Intercept,StdErr_Residual,Position,Exit_Date,ADF_PValue_Exit,ZScore_Exit,Entry_Open_Price_X,Exit_Open_Price_X,Entry_Open_Price_Y,Exit_Open_Price_Y,Lot_Size_X,Lot_Size_Y,Trade_PnL,Returns
24-04-2025,AXISBANK.NS,EXIDEIND.NS,0.042576765,3.194491843,1.066841516,652.639152,45.84368345,short,30-04-2025,0.167061857,3.179477627,382.45,351.75,1207.1,1185,1,1,-8.6,-0.0054
21-04-2025,AXISBANK.NS,CUMMINSIND.NS,0.028793691,4.778758569,0.191636033,479.3593761,38.73353718,short,22-04-2025,0.11380904,4.474604763,2914.6,2896.5,1223,1216.8,1,1,-11.9,-0.0029
29-07-2024,AXISBANK.NS,IEX.NS,0.008421749,-3.136255057,5.064741229,338.4840694,36.90490218,long,30-07-2024,0.006918952,-3.238474923,187.04,188.86,1170.05,1170,1,5,-2.07,-0.0015
29-07-2024,AXISBANK.NS,BRITANNIA.NS,0.003376876,-2.563486127,0.22601451,-39.19211536,48.25500421,long,06-08-2024,0.005071903,-3.192948018,5897.6,5854.5,1170.05,1126.1,1,1,-0.85,-0.0001
23-01-2025,AXISBANK.NS,BHARATFORG.NS,0.010404129,-3.435876761,0.318938222,695.5545911,39.60590402,long,24-01-2025,0.014604444,-3.306501295,1227.75,1216.55,951.05,948.5,1,1,8.65,0.004
22-04-2025,AXISBANK.NS,EXIDEIND.NS,0.045460356,3.669717922,1.088241336,641.6015146,43.77256987,short,23-04-2025,0.054732149,3.328336494,380.95,380.8,1216.8,1206.9,1,1,9.75,0.0061
23-01-2025,AXISBANK.NS,EXIDEIND.NS,0.027874848,-3.468944017,0.743137156,812.1719668,42.12090995,long,24-01-2025,0.144144612,-3.176346705,383.5,369.05,951.05,948.5,1,1,11.9,0.0089
25-03-2025,AXISBANK.NS,HEROMOTOCO.NS,0.044066882,2.781020171,0.109893959,598.5272316,43.62896572,short,17-04-2025,0.095630717,3.47200055,3627.95,3771.8,1118.55,1190.8,1,1,71.6,0.0151
12-07-2024,AXISBANK.NS,BHARATFORG.NS,0.006385949,2.801066941,0.361852787,636.1879754,34.01936586,short,24-07-2024,0.006623127,0.489163815,1618.95,1591.15,1317.3,1239.25,1,1,50.25,0.0171
21-01-2025,AXISBANK.NS,CUMMINSIND.NS,0.024168001,-2.739488687,0.105061242,791.4186913,46.10185826,long,07-02-2025,0.005925161,-0.783350213,2903.8,2871.9,970.2,1024.1,1,1,85.8,0.0221
31-07-2024,AXISBANK.NS,IEX.NS,0.007632126,-3.605198488,4.928713996,357.5067917,38.35074971,long,01-08-2024,0.008784254,-3.042554334,192.11,190.43,1166.1,1172.3,1,5,32.68,0.0241
06-08-2024,AXISBANK.NS,IEX.NS,0.013837672,-3.617367578,4.614280495,401.6821635,41.98639214,long,07-08-2024,0.019627191,-4.026681901,189.91,197.87,1126.1,1136.8,1,5,45.54,0.0346
22-01-2025,AXISBANK.NS,GODREJCP.NS,0.039543776,-2.513896711,0.427349574,591.6523795,49.75799107,long,04-02-2025,0.042854679,-0.920541065,1153,1135.25,959.3,1015.3,1,1,73.75,0.0349
12-07-2024,AXISBANK.NS,HINDALCO.NS,0.018158719,2.846497963,0.940569746,554.6478767,39.2520537,short,25-07-2024,0.042059029,0.100387686,692.05,646.55,1317.3,1175.9,1,1,95.9,0.0477
27-01-2025,AXISBANK.NS,BHARATFORG.NS,0.012917069,-3.069171553,0.325365189,685.2566874,41.29215668,long,05-02-2025,0.003889622,-0.960681778,1197.35,1156.55,948.1,1013.3,1,1,106,0.0494
29-07-2024,AXISBANK.NS,BHARATFORG.NS,0.002314812,-2.939775575,0.382031269,612.4250637,36.0446999,long,16-08-2024,0.004643401,-0.944960263,1737,1584.5,1170.05,1166.85,1,1,149.3,0.0514
21-04-2025,AXISBANK.NS,BHEL.NS,0.02175007,2.713047768,1.685468418,704.5148336,49.96727077,short,27-05-2025,0.015342634,0.718621037,227.19,260.17,1223,1195.6,1,2,87.78,0.0605
21-04-2025,AXISBANK.NS,ADANIPORTS.NS,0.033173341,2.68439488,0.479796012,503.1199378,45.98639803,short,05-05-2025,0.055458328,0.37328061,1243.1,1347.1,1223,1173.2,1,1,153.8,0.0624
23-01-2025,AXISBANK.NS,GAIL.NS,0.041470175,-2.669981191,2.61925765,608.2379756,47.85195759,long,29-01-2025,0.013975732,-0.956722186,179.66,165.22,951.05,983.4,1,3,111.49,0.0986
12-07-2024,AXISBANK.NS,IEX.NS,0.021450372,2.646550323,4.879875245,363.2016646,33.90302368,short,24-07-2024,0.030321702,0.42887023,177.13,174.43,1317.3,1239.25,1,5,387.55,0.2593
08-08-2024,AXISBANK.NS,IEX.NS,0.032444322,-3.320267653,4.427964613,428.0553652,44.34818,long,24-09-2024,0.439516821,-0.264460733,193.62,211.61,1138.15,1239.55,1,4,387.61,0.291
28-08-2024,BAJAJ-AUTO.NS,BHEL.NS,0.016583346,2.690762402,25.32834319,1998.117683,444.8190062,short,29-08-2024,0.028552577,3.168268298,294.6,291,10656.75,10807.85,1,25,-3781.09,-0.3453
17-10-2024,BAJAJ-AUTO.NS,VOLTAS.NS,0.024220428,-2.640931392,5.529933798,1489.139321,573.6254796,long,01-11-2024,0.040464489,-0.992065285,1834.6,1642.85,10119.45,9875.95,1,6,-1269.25,-0.1062
29-08-2024,BAJAJFINSV.NS,JSWSTEEL.NS,0.021075866,2.52439934,0.187480911,1443.434086,53.8900965,short,02-09-2024,0.07452683,3.988211184,939.7,940.45,1755.65,1840.55,1,1,-84.15,-0.0312
30-08-2024,BAJAJFINSV.NS,MUTHOOTFIN.NS,0.02365652,2.927299969,0.048297845,1529.289037,54.25296204,short,02-09-2024,0.056934514,3.921067163,1965.85,1965,1783.05,1840.55,1,1,-58.35,-0.0156
30-08-2024,BAJAJFINSV.NS,CHOLAFIN.NS,0.033316453,2.963012834,0.084649673,1498.576923,54.42334318,short,02-09-2024,0.076316952,3.909574761,1455.6,1486.3,1783.05,1840.55,1,1,-26.8,-0.0083
29-08-2024,BAJAJFINSV.NS,SRF.NS,0.013570926,2.506610648,0.168873803,1197.727684,51.43349937,short,02-09-2024,0.04492851,3.895215061,2540.35,2590.3,1755.65,1840.55,1,1,-34.95,-0.0081
29-08-2024,BAJAJFINSV.NS,ICICIBANK.NS,0.018584679,2.702594767,0.036683617,1562.575961,54.85482069,short,30-08-2024,0.027905648,3.147891729,1221.9,1229.2,1755.65,1783.05,1,1,-20.1,-0.0068
29-08-2024,BAJAJFINSV.NS,BAJFINANCE.NS,0.048983081,2.915724531,0.315151936,1377.205178,53.4466495,short,30-08-2024,0.07272988,3.305961812,706.35,720.02,1755.65,1783.05,1,1,-13.74,-0.0056
